POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE
B1,2021-10-24,2022-06-04,-71.4132942,-36.834797,2850.216,-11.34
B2,2022-01-15,2022-06-04,-71.4121187,-36.8343062,2884.16,-12.58
B3,2021-10-24,2022-06-04,-71.4149804,-36.8373411,2747.15,-8.67
B4,2021-10-24,2022-06-04,-71.4141606,-36.8360787,2795.9,-12.39
B5,2021-10-24,2022-06-04,-71.4147986,-36.835262,2813.83,-3.43
B1,2022-10-22,2023-12-04,-71.4121886,-36.8343589,2877.33,-10.61
B2,2022-10-22,2023-12-04,-71.4127013,-36.8336928,2904.88,-11.77
B3,2022-10-22,2023-12-04,-71.4142017,-36.835798,2796.72,-11.93
B4,2022-10-22,2023-12-04,-71.4149252,-36.836251,2775.22,-11.35
B5,2022-10-22,2023-12-04,-71.4127445,-36.8365995,2787.54,-11.14
B6,2022-10-22,2023-12-04,-71.4154303,-36.8349692,2820.46,-9.35
B1A,2023-10-26,2024-09-04,-71.41404,-36.8362875,2777,-9.98
B2,2023-10-26,2024-04-09,-71.4146945,-36.8351277,2813.08,-7.74
B2A,2023-10-26,2024-04-09,-71.4143315,-36.8353638,2801.74,-9.54
B3A,2023-10-26,2024-04-09,-71.4136343,-36.8357902,2798.79,-9.78
B4,2023-10-26,2024-04-09,-71.4133212,-36.8365135,2786.71,-9.64
B4A,2023-10-26,2024-03-26,-71.4132959,-36.8365382,2779,-8.89
A2,2014-04-26,2014-12-18,-70.002,-29.304,5181,-3.57
A7,2014-04-26,2014-12-18,-70.002,-29.302,5230,-4.17
A7,2014-04-26,2015-05-14,-70.002,-29.302,5230,-8.74
A8,2014-04-26,2014-12-18,-70.003,-29.304,5179,-2.89
A8,2014-04-26,2015-05-14,-70.003,-29.304,5179,-1.26
A6,2014-04-26,2015-05-14,-69.999,-29.303,5211,-1.11
A6,2014-04-26,2014-12-18,-69.999,-29.303,5211,1.48
A5,2014-04-26,2015-05-14,-70.002,-29.304,5151,-2.04
A5,2014-04-26,2014-12-18,-70.002,-29.304,5151,-3.4
A4,2014-04-26,2015-05-14,-70,-29.304,5168,-1.22
A4,2014-04-26,2014-12-18,-70,-29.304,5168,-0.17
A2,2014-04-26,2015-05-14,-70.002,-29.304,5181,-1.41
A1,2014-04-26,2014-12-18,-70,-29.302,5241,-2.55
A1,2014-04-26,2015-05-14,-70,-29.302,5241,-8.15
B01,2021-10-01,2022-03-01,-70.109,-32.991,3059,-7.74
B02,2021-10-01,2022-03-01,-70.109,-32.992,3083,-7.78
B04,2021-10-01,2022-03-01,-70.105,-32.995,3137,-5.42
B07,2021-10-01,2022-03-01,-70.101,-32.998,3195,-6.87
B01,2022-10-21,2023-04-22,-70.109,-32.991,3059,-10.52
B02,2022-10-21,2023-04-22,-70.109,-32.992,3083,-11.52
B03,2022-10-21,2023-01-21,-70.107,-32.993,3104,-3.6
B04,2022-10-21,2023-04-22,-70.105,-32.995,3137,-8.7
B05,2022-10-21,2023-04-22,-70.103,-32.997,3167,-9.76
B06,2022-10-20,2023-04-22,-70.102,-32.997,3182,-9.65
B07,2022-10-20,2023-01-21,-70.101,-32.998,3195,-5.36
B08,2022-10-20,2023-01-21,-70.1,-32.999,3246,-5.15
B09,2022-10-20,2023-04-22,-70.099,-33.001,3277,-10.54
U1,2009-03-27,2009-05-08,-70.341,-34.709,2598,-1
U2,2009-03-28,2009-05-08,-70.339,-34.706,2646,-1.12
U3,2009-03-28,2009-05-08,-70.335,-34.702,2733,-1.23
U4,2009-03-28,2009-05-08,-70.33,-34.694,2828,-1.25
U2,2009-09-30,2009-11-21,-70.339,-34.706,2646,-1.23
U4,2009-10-02,2009-11-21,-70.33,-34.694,2828,-0.81
U7,2009-10-03,2009-11-21,-70.331,-34.682,2939,-0.33
AB1,2010-12-19,2011-01-28,-70.343,-34.708,2521,-2.53
AB2,2010-12-17,2011-01-28,-70.341,-34.706,2623,-2.6
AB3,2010-12-17,2011-01-29,-70.337,-34.7,2686,-2.27
AB4,2010-12-17,2011-01-29,-70.331,-34.699,2741,-2.11
AB5,2010-12-17,2011-01-29,-70.329,-34.693,2781,-2.17
AB6,2010-12-10,2011-02-03,-70.337,-34.688,2904,-2.66
AB7,2010-12-17,2011-02-03,-70.329,-34.684,2894,-2.39
AB1,2011-01-28,2011-03-22,-70.343,-34.708,2521,-2.71
AB2,2011-01-28,2011-03-22,-70.341,-34.706,2623,-2.26
AB3,2011-01-29,2011-03-22,-70.337,-34.7,2686,-2.29
AB4,2011-01-29,2011-03-22,-70.331,-34.699,2741,-1.83
AB5,2011-01-29,2011-03-22,-70.329,-34.693,2781,-2.14
AB6,2011-02-03,2011-03-24,-70.337,-34.688,2904,-1.73
AB7,2011-02-03,2011-03-24,-70.329,-34.684,2894,-1.53
ACN1,2010-12-13,2011-02-02,-70.326,-34.665,3317,-2.07
ACN2,2010-12-16,2011-02-02,-70.326,-34.658,3393,-1.97
ACN3,2010-12-13,2011-02-02,-70.317,-34.654,3446,-1.55
ACN4,2010-12-13,2011-02-02,-70.314,-34.649,3530,-1.29
ACN5,2010-12-16,2011-02-02,-70.325,-34.644,3583,-1.26
ACO1,2010-12-18,2011-01-31,-70.354,-34.689,3515,-1.78
ACO2,2010-12-18,2011-01-31,-70.362,-34.689,3657,-1.8
ACO3,2010-12-18,2011-01-31,-70.357,-34.686,3614,-1.66
ACO4,2010-12-18,2011-01-31,-70.362,-34.684,3701,-1.85
ACO5,2011-01-31,2011-03-23,-70.364,-34.678,3764,-0.5
ACN1,2011-02-02,2011-03-21,-70.326,-34.665,3317,-0.93
ACN2,2011-02-02,2011-03-21,-70.326,-34.658,3393,-1.06
ACN3,2011-02-02,2011-03-21,-70.317,-34.654,3446,-1.36
ACN4,2011-02-02,2011-03-21,-70.314,-34.649,3530,-0.55
ACN5,2011-02-02,2011-03-21,-70.325,-34.644,3583,-0.52
ACO1,2011-01-31,2011-03-23,-70.354,-34.689,3515,-1.43
ACO2,2011-01-31,2011-03-23,-70.362,-34.689,3657,-1.45
ACO3,2011-01-31,2011-03-23,-70.357,-34.686,3614,-1.07
ACO4,2011-01-31,2011-03-23,-70.362,-34.684,3701,-1.49
ACO5,2011-03-23,2011-03-23,-70.364,-34.678,3764,-0.57
B11,2009-09-02,2009-10-07,-72.001,-39.945,1811,0.42
B11,2009-07-24,2009-09-02,-72.001,-39.945,1811,1.17
B10,2009-09-02,2009-10-07,-72.008,-39.949,1881,0.33
B10,2009-05-29,2009-07-24,-72.008,-39.949,1881,0.89
B15,2009-10-07,2009-12-11,-72.009,-39.942,1918,0.67
B17,2009-04-26,2009-05-29,-72.014,-39.936,2032,-0.01
B17,2009-05-29,2009-07-24,-72.014,-39.936,2032,1.21
B17,2009-07-24,2009-09-02,-72.014,-39.936,2032,1.54
B17,2009-09-02,2009-10-07,-72.014,-39.936,2032,0.52
B17,2009-10-07,2009-12-11,-72.014,-39.936,2032,1.21
B10,2009-04-26,2009-05-29,-72.008,-39.949,1881,-0.32
B1,2009-10-07,2009-12-11,-72.027,-39.932,2392,0.68
B1,2009-09-02,2009-10-07,-72.027,-39.932,2392,0.17
B8,2009-04-26,2009-05-29,-72.004,-39.945,1887,-0.12
B8,2009-05-29,2009-07-24,-72.004,-39.945,1887,1.19
B14,2009-07-24,2009-09-02,-72.015,-39.947,1919,1.72
B14,2009-09-02,2009-10-07,-72.015,-39.947,1919,0.61
B14,2009-10-07,2009-12-11,-72.015,-39.947,1919,1.78
B15,2009-04-26,2009-05-29,-72.009,-39.942,1918,-0.5
B18,2009-04-26,2009-05-29,-72.019,-39.943,1982,-0.22
B18,2009-07-24,2009-09-02,-72.019,-39.943,1982,1.45
B18,2009-09-02,2009-10-07,-72.019,-39.943,1982,0.42
B18,2009-10-07,2009-12-11,-72.019,-39.943,1982,1.1
