POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE,YEAR,RGIId,aspect,slope,u10_oct,u10_nov,u10_dec,u10_jan,u10_feb,u10_mar,u10_apr,u10_may,u10_jun,u10_jul,u10_aug,u10_sep,v10_oct,v10_nov,v10_dec,v10_jan,v10_feb,v10_mar,v10_apr,v10_may,v10_jun,v10_jul,v10_aug,v10_sep,t2m_oct,t2m_nov,t2m_dec,t2m_jan,t2m_feb,t2m_mar,t2m_apr,t2m_may,t2m_jun,t2m_jul,t2m_aug,t2m_sep,fal_oct,fal_nov,fal_dec,fal_jan,fal_feb,fal_mar,fal_apr,fal_may,fal_jun,fal_jul,fal_aug,fal_sep,rsn_oct,rsn_nov,rsn_dec,rsn_jan,rsn_feb,rsn_mar,rsn_apr,rsn_may,rsn_jun,rsn_jul,rsn_aug,rsn_sep,sd_oct,sd_nov,sd_dec,sd_jan,sd_feb,sd_mar,sd_apr,sd_may,sd_jun,sd_jul,sd_aug,sd_sep,sf_oct,sf_nov,sf_dec,sf_jan,sf_feb,sf_mar,sf_apr,sf_may,sf_jun,sf_jul,sf_aug,sf_sep,smlt_oct,smlt_nov,smlt_dec,smlt_jan,smlt_feb,smlt_mar,smlt_apr,smlt_may,smlt_jun,smlt_jul,smlt_aug,smlt_sep,slhf_oct,slhf_nov,slhf_dec,slhf_jan,slhf_feb,slhf_mar,slhf_apr,slhf_may,slhf_jun,slhf_jul,slhf_aug,slhf_sep,str_oct,str_nov,str_dec,str_jan,str_feb,str_mar,str_apr,str_may,str_jun,str_jul,str_aug,str_sep,sshf_oct,sshf_nov,sshf_dec,sshf_jan,sshf_feb,sshf_mar,sshf_apr,sshf_may,sshf_jun,sshf_jul,sshf_aug,sshf_sep,ssrd_oct,ssrd_nov,ssrd_dec,ssrd_jan,ssrd_feb,ssrd_mar,ssrd_apr,ssrd_may,ssrd_jun,ssrd_jul,ssrd_aug,ssrd_sep,tp_oct,tp_nov,tp_dec,tp_jan,tp_feb,tp_mar,tp_apr,tp_may,tp_jun,tp_jul,tp_aug,tp_sep,ALTITUDE_CLIMATE,ELEVATION_DIFFERENCE
B1,20211024,20220604,-71.4132942,-36.834797,2850.216,-11.34,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.013308525,0.4177761,0.39575768,0.70187664,0.2958088,0.19361973,0.18976307,-0.7176428,-0.5916548,-0.12472916,-0.4444561,-0.27815723,-0.033200264,-0.18553734,-0.21428967,-0.42701054,-0.18473816,-0.121302605,-0.57835865,-0.064888954,-0.57368565,-0.9475813,-0.36347866,-0.17531872,278.61792,282.91016,286.70874,286.4978,286.34204,284.1311,279.2312,275.9204,273.48297,272.7701,274.1018,274.93506,0.26987478,0.2261965,0.19443767,0.16719364,0.1448284,0.1287085,0.18920453,0.26234156,0.37963757,0.4195165,0.39390272,0.38379234,236.96872,143.28122,110.68747,112.65622,100.00778,117.53903,164.85153,182.7109,186.78903,257.72653,360.8359,420.06247,0.038416862,0.00012493134,1.6212463e-05,2.002716e-05,-7.3453654e-25,0.00021362305,0.010500908,0.01533699,0.047426224,0.3725996,0.529089,0.47403717,0.000989316,9.2320144e-05,1.4690217e-05,1.8806197e-05,0.0,0.00013804436,0.0033267764,0.0017392747,0.0052503757,0.011589991,0.0049399585,0.00066842604,0.0036381194,8.897111e-05,1.4405698e-05,1.8427148e-05,0.0,0.00013373047,0.0014260719,0.0031686854,0.0025696363,0.0014901645,0.0025686766,0.0018584016,-5645060.0,-6070985.0,-5621875.0,-4643900.0,-3513949.0,-3106384.0,-2668205.0,-2272874.0,-1058385.0,-1125383.0,-2017911.0,-1028584.0,-6556478.0,-7138438.0,-7765883.0,-7547407.0,-7983862.0,-7610646.0,-5165358.0,-5371644.0,-3025739.0,-2843763.0,-4797944.0,-2350805.0,-5247778.0,-8909182.0,-11652478.0,-13107320.0,-12132404.0,-8918145.0,-3535517.0,-198843.0,30211.0,-781009.0,-463908.0,-483914.5,26078602.0,29207030.0,31848896.0,30782500.0,27747924.0,22504258.0,13539273.0,11045850.0,6789099.0,7779487.0,12579106.0,6104019.0,0.0014343417,0.00078571215,0.0008921982,0.0008497732,0.0008835965,0.0005949569,0.011084188,0.004126985,0.008372178,0.014432136,0.006495603,0.0010098384,1175.0409,1675.1751064453124
B2,20220115,20220604,-71.4121187,-36.8343062,2884.16,-12.58,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.013308525,0.4177761,0.39575768,0.70187664,0.2958088,0.19361973,0.18976307,-0.7176428,-0.5916548,-0.12472916,-0.4444561,-0.27815723,-0.033200264,-0.18553734,-0.21428967,-0.42701054,-0.18473816,-0.121302605,-0.57835865,-0.064888954,-0.57368565,-0.9475813,-0.36347866,-0.17531872,278.61792,282.91016,286.70874,286.4978,286.34204,284.1311,279.2312,275.9204,273.48297,272.7701,274.1018,274.93506,0.26987478,0.2261965,0.19443767,0.16719364,0.1448284,0.1287085,0.18920453,0.26234156,0.37963757,0.4195165,0.39390272,0.38379234,236.96872,143.28122,110.68747,112.65622,100.00778,117.53903,164.85153,182.7109,186.78903,257.72653,360.8359,420.06247,0.038416862,0.00012493134,1.6212463e-05,2.002716e-05,-7.3453654e-25,0.00021362305,0.010500908,0.01533699,0.047426224,0.3725996,0.529089,0.47403717,0.000989316,9.2320144e-05,1.4690217e-05,1.8806197e-05,0.0,0.00013804436,0.0033267764,0.0017392747,0.0052503757,0.011589991,0.0049399585,0.00066842604,0.0036381194,8.897111e-05,1.4405698e-05,1.8427148e-05,0.0,0.00013373047,0.0014260719,0.0031686854,0.0025696363,0.0014901645,0.0025686766,0.0018584016,-5645060.0,-6070985.0,-5621875.0,-4643900.0,-3513949.0,-3106384.0,-2668205.0,-2272874.0,-1058385.0,-1125383.0,-2017911.0,-1028584.0,-6556478.0,-7138438.0,-7765883.0,-7547407.0,-7983862.0,-7610646.0,-5165358.0,-5371644.0,-3025739.0,-2843763.0,-4797944.0,-2350805.0,-5247778.0,-8909182.0,-11652478.0,-13107320.0,-12132404.0,-8918145.0,-3535517.0,-198843.0,30211.0,-781009.0,-463908.0,-483914.5,26078602.0,29207030.0,31848896.0,30782500.0,27747924.0,22504258.0,13539273.0,11045850.0,6789099.0,7779487.0,12579106.0,6104019.0,0.0014343417,0.00078571215,0.0008921982,0.0008497732,0.0008835965,0.0005949569,0.011084188,0.004126985,0.008372178,0.014432136,0.006495603,0.0010098384,1175.0409,1709.1191064453124
B3,20211024,20220604,-71.4149804,-36.8373411,2747.15,-8.67,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.013308525,0.4177761,0.39575768,0.70187664,0.2958088,0.19361973,0.18976307,-0.7176428,-0.5916548,-0.12472916,-0.4444561,-0.27815723,-0.033200264,-0.18553734,-0.21428967,-0.42701054,-0.18473816,-0.121302605,-0.57835865,-0.064888954,-0.57368565,-0.9475813,-0.36347866,-0.17531872,278.61792,282.91016,286.70874,286.4978,286.34204,284.1311,279.2312,275.9204,273.48297,272.7701,274.1018,274.93506,0.26987478,0.2261965,0.19443767,0.16719364,0.1448284,0.1287085,0.18920453,0.26234156,0.37963757,0.4195165,0.39390272,0.38379234,236.96872,143.28122,110.68747,112.65622,100.00778,117.53903,164.85153,182.7109,186.78903,257.72653,360.8359,420.06247,0.038416862,0.00012493134,1.6212463e-05,2.002716e-05,-7.3453654e-25,0.00021362305,0.010500908,0.01533699,0.047426224,0.3725996,0.529089,0.47403717,0.000989316,9.2320144e-05,1.4690217e-05,1.8806197e-05,0.0,0.00013804436,0.0033267764,0.0017392747,0.0052503757,0.011589991,0.0049399585,0.00066842604,0.0036381194,8.897111e-05,1.4405698e-05,1.8427148e-05,0.0,0.00013373047,0.0014260719,0.0031686854,0.0025696363,0.0014901645,0.0025686766,0.0018584016,-5645060.0,-6070985.0,-5621875.0,-4643900.0,-3513949.0,-3106384.0,-2668205.0,-2272874.0,-1058385.0,-1125383.0,-2017911.0,-1028584.0,-6556478.0,-7138438.0,-7765883.0,-7547407.0,-7983862.0,-7610646.0,-5165358.0,-5371644.0,-3025739.0,-2843763.0,-4797944.0,-2350805.0,-5247778.0,-8909182.0,-11652478.0,-13107320.0,-12132404.0,-8918145.0,-3535517.0,-198843.0,30211.0,-781009.0,-463908.0,-483914.5,26078602.0,29207030.0,31848896.0,30782500.0,27747924.0,22504258.0,13539273.0,11045850.0,6789099.0,7779487.0,12579106.0,6104019.0,0.0014343417,0.00078571215,0.0008921982,0.0008497732,0.0008835965,0.0005949569,0.011084188,0.004126985,0.008372178,0.014432136,0.006495603,0.0010098384,1175.0409,1572.1091064453126
B4,20211024,20220604,-71.4141606,-36.8360787,2795.9,-12.39,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.013308525,0.4177761,0.39575768,0.70187664,0.2958088,0.19361973,0.18976307,-0.7176428,-0.5916548,-0.12472916,-0.4444561,-0.27815723,-0.033200264,-0.18553734,-0.21428967,-0.42701054,-0.18473816,-0.121302605,-0.57835865,-0.064888954,-0.57368565,-0.9475813,-0.36347866,-0.17531872,278.61792,282.91016,286.70874,286.4978,286.34204,284.1311,279.2312,275.9204,273.48297,272.7701,274.1018,274.93506,0.26987478,0.2261965,0.19443767,0.16719364,0.1448284,0.1287085,0.18920453,0.26234156,0.37963757,0.4195165,0.39390272,0.38379234,236.96872,143.28122,110.68747,112.65622,100.00778,117.53903,164.85153,182.7109,186.78903,257.72653,360.8359,420.06247,0.038416862,0.00012493134,1.6212463e-05,2.002716e-05,-7.3453654e-25,0.00021362305,0.010500908,0.01533699,0.047426224,0.3725996,0.529089,0.47403717,0.000989316,9.2320144e-05,1.4690217e-05,1.8806197e-05,0.0,0.00013804436,0.0033267764,0.0017392747,0.0052503757,0.011589991,0.0049399585,0.00066842604,0.0036381194,8.897111e-05,1.4405698e-05,1.8427148e-05,0.0,0.00013373047,0.0014260719,0.0031686854,0.0025696363,0.0014901645,0.0025686766,0.0018584016,-5645060.0,-6070985.0,-5621875.0,-4643900.0,-3513949.0,-3106384.0,-2668205.0,-2272874.0,-1058385.0,-1125383.0,-2017911.0,-1028584.0,-6556478.0,-7138438.0,-7765883.0,-7547407.0,-7983862.0,-7610646.0,-5165358.0,-5371644.0,-3025739.0,-2843763.0,-4797944.0,-2350805.0,-5247778.0,-8909182.0,-11652478.0,-13107320.0,-12132404.0,-8918145.0,-3535517.0,-198843.0,30211.0,-781009.0,-463908.0,-483914.5,26078602.0,29207030.0,31848896.0,30782500.0,27747924.0,22504258.0,13539273.0,11045850.0,6789099.0,7779487.0,12579106.0,6104019.0,0.0014343417,0.00078571215,0.0008921982,0.0008497732,0.0008835965,0.0005949569,0.011084188,0.004126985,0.008372178,0.014432136,0.006495603,0.0010098384,1175.0409,1620.8591064453126
B5,20211024,20220604,-71.4147986,-36.835262,2813.83,-3.43,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.013308525,0.4177761,0.39575768,0.70187664,0.2958088,0.19361973,0.18976307,-0.7176428,-0.5916548,-0.12472916,-0.4444561,-0.27815723,-0.033200264,-0.18553734,-0.21428967,-0.42701054,-0.18473816,-0.121302605,-0.57835865,-0.064888954,-0.57368565,-0.9475813,-0.36347866,-0.17531872,278.61792,282.91016,286.70874,286.4978,286.34204,284.1311,279.2312,275.9204,273.48297,272.7701,274.1018,274.93506,0.26987478,0.2261965,0.19443767,0.16719364,0.1448284,0.1287085,0.18920453,0.26234156,0.37963757,0.4195165,0.39390272,0.38379234,236.96872,143.28122,110.68747,112.65622,100.00778,117.53903,164.85153,182.7109,186.78903,257.72653,360.8359,420.06247,0.038416862,0.00012493134,1.6212463e-05,2.002716e-05,-7.3453654e-25,0.00021362305,0.010500908,0.01533699,0.047426224,0.3725996,0.529089,0.47403717,0.000989316,9.2320144e-05,1.4690217e-05,1.8806197e-05,0.0,0.00013804436,0.0033267764,0.0017392747,0.0052503757,0.011589991,0.0049399585,0.00066842604,0.0036381194,8.897111e-05,1.4405698e-05,1.8427148e-05,0.0,0.00013373047,0.0014260719,0.0031686854,0.0025696363,0.0014901645,0.0025686766,0.0018584016,-5645060.0,-6070985.0,-5621875.0,-4643900.0,-3513949.0,-3106384.0,-2668205.0,-2272874.0,-1058385.0,-1125383.0,-2017911.0,-1028584.0,-6556478.0,-7138438.0,-7765883.0,-7547407.0,-7983862.0,-7610646.0,-5165358.0,-5371644.0,-3025739.0,-2843763.0,-4797944.0,-2350805.0,-5247778.0,-8909182.0,-11652478.0,-13107320.0,-12132404.0,-8918145.0,-3535517.0,-198843.0,30211.0,-781009.0,-463908.0,-483914.5,26078602.0,29207030.0,31848896.0,30782500.0,27747924.0,22504258.0,13539273.0,11045850.0,6789099.0,7779487.0,12579106.0,6104019.0,0.0014343417,0.00078571215,0.0008921982,0.0008497732,0.0008835965,0.0005949569,0.011084188,0.004126985,0.008372178,0.014432136,0.006495603,0.0010098384,1175.0409,1638.7891064453124
B1,20221022,20231204,-71.4121886,-36.8343589,2877.33,-10.61,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.021606445,0.15559483,0.46958447,0.56641006,0.23433018,0.20474052,-0.031467438,-0.44545364,-0.22995663,-0.25509262,0.13593483,0.1898756,-0.21212578,-0.22032547,-0.18565178,-0.24142456,0.104356766,-0.3378849,-0.3396635,-0.34866238,-0.60374355,-0.68200874,-0.8015852,-0.7252703,277.45654,284.69043,286.68945,287.75122,288.86377,286.68286,282.20703,277.6599,275.28076,274.12085,274.67432,274.2644,0.33296984,0.24049552,0.19418284,0.16683505,0.14482836,0.124701545,0.12848751,0.24466005,0.28567395,0.41324055,0.40010694,0.41395426,419.1406,171.8984,100.015594,100.00778,99.99997,100.00778,118.609344,160.8984,180.74997,208.22653,233.49997,282.93747,0.20912457,0.010231018,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,0.00027656555,0.020277023,0.017352104,0.106827736,0.11664486,0.29763222,0.00016913656,5.750591e-05,0.0,0.0,0.0,0.0,0.0002997499,0.0017804215,0.0013701562,0.003258532,0.0042987624,0.003623641,0.0032142429,0.00075363554,0.0,0.0,0.0,0.0,3.400119e-05,0.00076208194,0.0012083875,0.0009545239,0.0018093467,0.0017957392,-1300483.5,-2630071.0,-1786112.0,-1352218.0,-815713.0,-583845.0,-588695.5,-763708.0,-596853.5,-343687.0,-438240.0,-731777.5,-2360648.0,-3138639.0,-3848566.5,-3890679.0,-4273241.5,-3685249.5,-2915654.5,-2307294.5,-1578306.5,-1442790.0,-1444099.0,-1552281.5,-791488.0,-1584989.0,-3397261.0,-3658727.0,-3398247.0,-2700432.0,-1439846.0,-2615.0,401599.5,101965.0,-225488.5,-611975.5,7595797.5,9824525.0,10713631.0,10114076.0,9216582.0,7210625.5,4798553.5,3417632.0,2379878.8,2443502.0,3467589.0,5016191.5,0.0011011559,0.00061623025,0.000115438044,0.00018901571,1.1416583e-05,3.0904586e-05,0.0024237232,0.0033195817,0.012844382,0.0055102212,0.009408197,0.0072003338,1175.0409,1702.2891064453124
B2,20221022,20231204,-71.4127013,-36.8336928,2904.88,-11.77,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.021606445,0.15559483,0.46958447,0.56641006,0.23433018,0.20474052,-0.031467438,-0.44545364,-0.22995663,-0.25509262,0.13593483,0.1898756,-0.21212578,-0.22032547,-0.18565178,-0.24142456,0.104356766,-0.3378849,-0.3396635,-0.34866238,-0.60374355,-0.68200874,-0.8015852,-0.7252703,277.45654,284.69043,286.68945,287.75122,288.86377,286.68286,282.20703,277.6599,275.28076,274.12085,274.67432,274.2644,0.33296984,0.24049552,0.19418284,0.16683505,0.14482836,0.124701545,0.12848751,0.24466005,0.28567395,0.41324055,0.40010694,0.41395426,419.1406,171.8984,100.015594,100.00778,99.99997,100.00778,118.609344,160.8984,180.74997,208.22653,233.49997,282.93747,0.20912457,0.010231018,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,0.00027656555,0.020277023,0.017352104,0.106827736,0.11664486,0.29763222,0.00016913656,5.750591e-05,0.0,0.0,0.0,0.0,0.0002997499,0.0017804215,0.0013701562,0.003258532,0.0042987624,0.003623641,0.0032142429,0.00075363554,0.0,0.0,0.0,0.0,3.400119e-05,0.00076208194,0.0012083875,0.0009545239,0.0018093467,0.0017957392,-1300483.5,-2630071.0,-1786112.0,-1352218.0,-815713.0,-583845.0,-588695.5,-763708.0,-596853.5,-343687.0,-438240.0,-731777.5,-2360648.0,-3138639.0,-3848566.5,-3890679.0,-4273241.5,-3685249.5,-2915654.5,-2307294.5,-1578306.5,-1442790.0,-1444099.0,-1552281.5,-791488.0,-1584989.0,-3397261.0,-3658727.0,-3398247.0,-2700432.0,-1439846.0,-2615.0,401599.5,101965.0,-225488.5,-611975.5,7595797.5,9824525.0,10713631.0,10114076.0,9216582.0,7210625.5,4798553.5,3417632.0,2379878.8,2443502.0,3467589.0,5016191.5,0.0011011559,0.00061623025,0.000115438044,0.00018901571,1.1416583e-05,3.0904586e-05,0.0024237232,0.0033195817,0.012844382,0.0055102212,0.009408197,0.0072003338,1175.0409,1729.8391064453126
B3,20221022,20231204,-71.4142017,-36.835798,2796.72,-11.93,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.021606445,0.15559483,0.46958447,0.56641006,0.23433018,0.20474052,-0.031467438,-0.44545364,-0.22995663,-0.25509262,0.13593483,0.1898756,-0.21212578,-0.22032547,-0.18565178,-0.24142456,0.104356766,-0.3378849,-0.3396635,-0.34866238,-0.60374355,-0.68200874,-0.8015852,-0.7252703,277.45654,284.69043,286.68945,287.75122,288.86377,286.68286,282.20703,277.6599,275.28076,274.12085,274.67432,274.2644,0.33296984,0.24049552,0.19418284,0.16683505,0.14482836,0.124701545,0.12848751,0.24466005,0.28567395,0.41324055,0.40010694,0.41395426,419.1406,171.8984,100.015594,100.00778,99.99997,100.00778,118.609344,160.8984,180.74997,208.22653,233.49997,282.93747,0.20912457,0.010231018,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,0.00027656555,0.020277023,0.017352104,0.106827736,0.11664486,0.29763222,0.00016913656,5.750591e-05,0.0,0.0,0.0,0.0,0.0002997499,0.0017804215,0.0013701562,0.003258532,0.0042987624,0.003623641,0.0032142429,0.00075363554,0.0,0.0,0.0,0.0,3.400119e-05,0.00076208194,0.0012083875,0.0009545239,0.0018093467,0.0017957392,-1300483.5,-2630071.0,-1786112.0,-1352218.0,-815713.0,-583845.0,-588695.5,-763708.0,-596853.5,-343687.0,-438240.0,-731777.5,-2360648.0,-3138639.0,-3848566.5,-3890679.0,-4273241.5,-3685249.5,-2915654.5,-2307294.5,-1578306.5,-1442790.0,-1444099.0,-1552281.5,-791488.0,-1584989.0,-3397261.0,-3658727.0,-3398247.0,-2700432.0,-1439846.0,-2615.0,401599.5,101965.0,-225488.5,-611975.5,7595797.5,9824525.0,10713631.0,10114076.0,9216582.0,7210625.5,4798553.5,3417632.0,2379878.8,2443502.0,3467589.0,5016191.5,0.0011011559,0.00061623025,0.000115438044,0.00018901571,1.1416583e-05,3.0904586e-05,0.0024237232,0.0033195817,0.012844382,0.0055102212,0.009408197,0.0072003338,1175.0409,1621.6791064453123
B4,20221022,20231204,-71.4149252,-36.836251,2775.22,-11.35,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.021606445,0.15559483,0.46958447,0.56641006,0.23433018,0.20474052,-0.031467438,-0.44545364,-0.22995663,-0.25509262,0.13593483,0.1898756,-0.21212578,-0.22032547,-0.18565178,-0.24142456,0.104356766,-0.3378849,-0.3396635,-0.34866238,-0.60374355,-0.68200874,-0.8015852,-0.7252703,277.45654,284.69043,286.68945,287.75122,288.86377,286.68286,282.20703,277.6599,275.28076,274.12085,274.67432,274.2644,0.33296984,0.24049552,0.19418284,0.16683505,0.14482836,0.124701545,0.12848751,0.24466005,0.28567395,0.41324055,0.40010694,0.41395426,419.1406,171.8984,100.015594,100.00778,99.99997,100.00778,118.609344,160.8984,180.74997,208.22653,233.49997,282.93747,0.20912457,0.010231018,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,0.00027656555,0.020277023,0.017352104,0.106827736,0.11664486,0.29763222,0.00016913656,5.750591e-05,0.0,0.0,0.0,0.0,0.0002997499,0.0017804215,0.0013701562,0.003258532,0.0042987624,0.003623641,0.0032142429,0.00075363554,0.0,0.0,0.0,0.0,3.400119e-05,0.00076208194,0.0012083875,0.0009545239,0.0018093467,0.0017957392,-1300483.5,-2630071.0,-1786112.0,-1352218.0,-815713.0,-583845.0,-588695.5,-763708.0,-596853.5,-343687.0,-438240.0,-731777.5,-2360648.0,-3138639.0,-3848566.5,-3890679.0,-4273241.5,-3685249.5,-2915654.5,-2307294.5,-1578306.5,-1442790.0,-1444099.0,-1552281.5,-791488.0,-1584989.0,-3397261.0,-3658727.0,-3398247.0,-2700432.0,-1439846.0,-2615.0,401599.5,101965.0,-225488.5,-611975.5,7595797.5,9824525.0,10713631.0,10114076.0,9216582.0,7210625.5,4798553.5,3417632.0,2379878.8,2443502.0,3467589.0,5016191.5,0.0011011559,0.00061623025,0.000115438044,0.00018901571,1.1416583e-05,3.0904586e-05,0.0024237232,0.0033195817,0.012844382,0.0055102212,0.009408197,0.0072003338,1175.0409,1600.1791064453123
B5,20221022,20231204,-71.4127445,-36.8365995,2787.54,-11.14,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586,0.021606445,0.15559483,0.46958447,0.56641006,0.23433018,0.20474052,-0.031467438,-0.44545364,-0.22995663,-0.25509262,0.13593483,0.1898756,-0.21212578,-0.22032547,-0.18565178,-0.24142456,0.104356766,-0.3378849,-0.3396635,-0.34866238,-0.60374355,-0.68200874,-0.8015852,-0.7252703,277.45654,284.69043,286.68945,287.75122,288.86377,286.68286,282.20703,277.6599,275.28076,274.12085,274.67432,274.2644,0.33296984,0.24049552,0.19418284,0.16683505,0.14482836,0.124701545,0.12848751,0.24466005,0.28567395,0.41324055,0.40010694,0.41395426,419.1406,171.8984,100.015594,100.00778,99.99997,100.00778,118.609344,160.8984,180.74997,208.22653,233.49997,282.93747,0.20912457,0.010231018,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,-7.3453654e-25,0.00027656555,0.020277023,0.017352104,0.106827736,0.11664486,0.29763222,0.00016913656,5.750591e-05,0.0,0.0,0.0,0.0,0.0002997499,0.0017804215,0.0013701562,0.003258532,0.0042987624,0.003623641,0.0032142429,0.00075363554,0.0,0.0,0.0,0.0,3.400119e-05,0.00076208194,0.0012083875,0.0009545239,0.0018093467,0.0017957392,-1300483.5,-2630071.0,-1786112.0,-1352218.0,-815713.0,-583845.0,-588695.5,-763708.0,-596853.5,-343687.0,-438240.0,-731777.5,-2360648.0,-3138639.0,-3848566.5,-3890679.0,-4273241.5,-3685249.5,-2915654.5,-2307294.5,-1578306.5,-1442790.0,-1444099.0,-1552281.5,-791488.0,-1584989.0,-3397261.0,-3658727.0,-3398247.0,-2700432.0,-1439846.0,-2615.0,401599.5,101965.0,-225488.5,-611975.5,7595797.5,9824525.0,10713631.0,10114076.0,9216582.0,7210625.5,4798553.5,3417632.0,2379878.8,2443502.0,3467589.0,5016191.5,0.0011011559,0.00061623025,0.000115438044,0.00018901571,1.1416583e-05,3.0904586e-05,0.0024237232,0.0033195817,0.012844382,0.0055102212,0.009408197,0.0072003338,1175.0409,1612.4991064453125
