POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE,YEAR,RGIId,aspect,slope
B1,20211024,20220604,-71.4132942,-36.834797,2850.216,-11.34,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586
B2,20220115,20220604,-71.4121187,-36.8343062,2884.16,-12.58,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586
B3,20211024,20220604,-71.4149804,-36.8373411,2747.15,-8.67,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586
B4,20211024,20220604,-71.4141606,-36.8360787,2795.9,-12.39,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586
B5,20211024,20220604,-71.4147986,-36.835262,2813.83,-3.43,2022,RGI60-17.13045,4.722618103027344,0.4468679428100586
B1,20221022,20231204,-71.4121886,-36.8343589,2877.33,-10.61,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586
B2,20221022,20231204,-71.4127013,-36.8336928,2904.88,-11.77,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586
B3,20221022,20231204,-71.4142017,-36.835798,2796.72,-11.93,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586
B4,20221022,20231204,-71.4149252,-36.836251,2775.22,-11.35,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586
B5,20221022,20231204,-71.4127445,-36.8365995,2787.54,-11.14,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586
B6,20221022,20231204,-71.4154303,-36.8349692,2820.46,-9.35,2023,RGI60-17.13045,4.722618103027344,0.4468679428100586
B1A,20231026,20240904,-71.41404,-36.8362875,2777.0,-9.98,2024,RGI60-17.13045,4.722618103027344,0.4468679428100586
B2,20231026,20240409,-71.4146945,-36.8351277,2813.08,-7.74,2024,RGI60-17.13045,4.722618103027344,0.4468679428100586
B2A,20231026,20240409,-71.4143315,-36.8353638,2801.74,-9.54,2024,RGI60-17.13045,4.722618103027344,0.4468679428100586
B3A,20231026,20240409,-71.4136343,-36.8357902,2798.79,-9.78,2024,RGI60-17.13045,4.722618103027344,0.4468679428100586
B4,20231026,20240409,-71.4133212,-36.8365135,2786.71,-9.64,2024,RGI60-17.13045,4.722618103027344,0.4468679428100586
B4A,20231026,20240326,-71.4132959,-36.8365382,2779.0,-8.89,2024,RGI60-17.13045,4.722618103027344,0.4468679428100586
A2,20140426,20141218,-70.002,-29.304,5181.0,-3.57,2014,RGI60-17.14887,4.501760005950928,0.2589404582977295
A7,20140426,20141218,-70.002,-29.302,5230.0,-4.17,2014,RGI60-17.14887,4.501760005950928,0.2589404582977295
A7,20140426,20150514,-70.002,-29.302,5230.0,-8.74,2015,RGI60-17.14887,4.501760005950928,0.2589404582977295
A8,20140426,20141218,-70.003,-29.304,5179.0,-2.89,2014,RGI60-17.14887,4.501760005950928,0.2589404582977295
A8,20140426,20150514,-70.003,-29.304,5179.0,-1.26,2015,RGI60-17.14887,4.501760005950928,0.2589404582977295
A6,20140426,20150514,-69.999,-29.303,5211.0,-1.11,2015,RGI60-17.14887,4.501760005950928,0.2589404582977295
A6,20140426,20141218,-69.999,-29.303,5211.0,1.48,2014,RGI60-17.14887,4.501760005950928,0.2589404582977295
A5,20140426,20150514,-70.002,-29.304,5151.0,-2.04,2015,RGI60-17.14887,4.501760005950928,0.2589404582977295
A5,20140426,20141218,-70.002,-29.304,5151.0,-3.4,2014,RGI60-17.14887,4.501760005950928,0.2589404582977295
A4,20140426,20150514,-70.0,-29.304,5168.0,-1.22,2015,RGI60-17.14887,4.501760005950928,0.2589404582977295
A4,20140426,20141218,-70.0,-29.304,5168.0,-0.17,2014,RGI60-17.14887,4.501760005950928,0.2589404582977295
A2,20140426,20150514,-70.002,-29.304,5181.0,-1.41,2015,RGI60-17.14887,4.501760005950928,0.2589404582977295
A1,20140426,20141218,-70.0,-29.302,5241.0,-2.55,2014,RGI60-17.14887,4.501760005950928,0.2589404582977295
A1,20140426,20150514,-70.0,-29.302,5241.0,-8.15,2015,RGI60-17.14887,4.501760005950928,0.2589404582977295
B01,20211001,20220301,-70.109,-32.991,3059.0,-7.74,2022,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B02,20211001,20220301,-70.109,-32.992,3083.0,-7.78,2022,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B04,20211001,20220301,-70.105,-32.995,3137.0,-5.42,2022,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B07,20211001,20220301,-70.101,-32.998,3195.0,-6.87,2022,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B01,20221021,20230422,-70.109,-32.991,3059.0,-10.52,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B02,20221021,20230422,-70.109,-32.992,3083.0,-11.52,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B03,20221021,20230121,-70.107,-32.993,3104.0,-3.6,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B04,20221021,20230422,-70.105,-32.995,3137.0,-8.7,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B05,20221021,20230422,-70.103,-32.997,3167.0,-9.76,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B06,20221020,20230422,-70.102,-32.997,3182.0,-9.65,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B07,20221020,20230121,-70.101,-32.998,3195.0,-5.36,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B08,20221020,20230121,-70.1,-32.999,3246.0,-5.15,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
B09,20221020,20230422,-70.099,-33.001,3277.0,-10.54,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
U1,20090327,20090508,-70.341,-34.709,2598.0,-1.0,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U2,20090328,20090508,-70.339,-34.706,2646.0,-1.12,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U3,20090328,20090508,-70.335,-34.702,2733.0,-1.23,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U4,20090328,20090508,-70.33,-34.694,2828.0,-1.25,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U2,20090930,20091121,-70.339,-34.706,2646.0,-1.23,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U4,20091002,20091121,-70.33,-34.694,2828.0,-0.81,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U7,20091003,20091121,-70.331,-34.682,2939.0,-0.33,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB1,20101219,20110128,-70.343,-34.708,2521.0,-2.53,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB2,20101217,20110128,-70.341,-34.706,2623.0,-2.6,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB3,20101217,20110129,-70.337,-34.7,2686.0,-2.27,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB4,20101217,20110129,-70.331,-34.699,2741.0,-2.11,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
